,state_query,action_result
63,63,"50, 1068, 1738, 3455, 3493, 3494, 5918, 6393, 7459, 8559, 8560, 9505, 9531, 9558, 9657, 9724, 10009, 10841"
64,64,"64, 9320, 9531, 9657, 10272"
65,65,"71, 72, 519, 783, 860, 1086, 1145, 1738, 2595, 2599, 3455, 3583, 4224, 4517, 5253, 5254, 5487, 7306, 9033, 9505, 9568, 9630, 9909"
66,66,"66, 1740, 5808, 8461, 9998"
67,67,"1990, 3543, 4042, 10009, 10045, 10281"
68,68,385
69,69,"75, 2638, 4402, 6743, 8325, 8461, 10009, 11414"
70,70,"1990, 10288"
71,71,"90, 4402, 10009"
72,72,"8, 81, 2151, 2452, 3064, 4405, 4980, 5429, 5772, 5828, 6398, 6484, 10181, 10272, 10426, 11125"
73,73,10061
74,74,"90, 2584, 9994, 10061, 10272"
75,75,"8, 51, 58, 59, 355, 1246, 1931, 2031, 2151, 2289, 4061, 4405, 4425, 5855, 5856, 6398, 6941, 7291, 7843, 7913, 8440, 8747, 8880, 9073, 9221, 9228, 9939, 10005, 10009, 10161, 10944"
76,76,"419, 983, 1483, 1613, 2326, 3227, 4449, 4495, 5285, 10333"
77,77,"1151, 1985, 4066, 10306"
78,78,"1, 8, 31, 606, 1086, 1092, 1195, 1533, 1555, 1576, 1937, 2170, 2656, 2900, 3978, 5253, 5254, 6398, 6425, 6934, 7291, 7798, 7843, 8112, 8113, 8776, 9073, 9221, 9388, 9719, 10901, 11347"
79,79,"8, 72, 1068, 1086, 1490, 1530, 2151, 2170, 2452, 2472, 2806, 3455, 4980, 5499, 6934, 7313, 8112, 8113, 8795, 9762, 10386"
80,80,"10009, 10061"
81,81,"71, 1086, 1474, 1490, 1934, 2151, 2165, 2170, 2349, 2428, 2472, 2692, 2752, 3412, 3413, 5336, 5512, 5513, 5828, 6369, 6484, 7291, 8795, 8841, 9073, 9194, 9762, 9926, 9944, 10292, 10944, 11455, 11478"
82,82,2907
83,83,"1738, 4402, 5487, 9301, 11160, 11276"
84,84,"50, 58, 65, 72, 1062, 1608, 1737, 2349, 2428, 2557, 2752, 4405, 4428, 4715, 4868, 5336, 5425, 7002, 7508, 7776, 8417, 8565, 9482, 10009, 10332, 10654, 11271"
85,85,4405
86,86,"50, 51, 58, 65, 72, 82, 310, 1086, 1145, 1474, 2151, 2170, 2428, 2571, 2806, 3455, 4080, 4299, 4405, 4980, 5026, 5027, 5253, 5254, 5393, 7291, 7302, 8503, 8559, 8560, 8565, 9073, 9318, 9482, 9505, 9926, 9998, 10061, 10944, 11258, 11478"
87,87,"1475, 1531, 8904, 11132"
88,88,"385, 9033, 9618, 10717"
89,89,"4399, 4402"
90,90,"22, 31, 59, 91, 6687, 11005, 11290"
91,91,"3758, 3759, 5253, 5254, 6403, 8696, 9899, 11324"
92,92,"107, 155, 1098, 1212, 2241, 8684"
93,93,"1676, 2404, 6873, 9427"
94,94,"107, 155, 1098, 1212, 2241, 8684"
95,95,"1676, 2404, 6873, 9427"
96,96,"96, 105, 132, 380, 1068, 2715, 5253, 5254, 6403, 7734, 8740, 8741, 9724, 9926"
97,97,7686
98,98,"1158, 3485, 3914, 4315, 4338, 7365, 7710, 8637, 9194, 10771"
99,99,"99, 7686"
100,100,"819, 1175, 1432, 2214, 4315, 4517, 5069, 5354, 8206, 8207, 8503, 8795, 8807, 9482, 9554, 10289"
101,101,"107, 7665, 7686"
